jobName	salaryFrom	salaryTo	experienceRequirement	degreeRequirement	numOfVacancy	genderRequirement	description	benefit	otherRequirement	companyId	fieldId	locationName	gender	personality1	personality2	personality3	liveLocation	fieldStudy	fieldLevel	strengthStatus	hobby1	hobby2	hobby3	rating
Kiến Trúc Sư Chủ Trì (Lương 10-20 Triệu)	15000000	20000000	3 năm	Đại học	3		- Có hiểu biết về các bước triển khai của dự án- Nắm vững các tiêu chuẩn, quy chuẩn.- Lên ý tưởng concept, thiết kế nội ngoại thất- Phối hợp, làm việc với các phòng ban liên quan để thực hiện dự án.- Có thể họp và trao đổi, thống nhất thông tin với các CĐT của mỗi dự án.- Ưu tiên ứng viên đã từng làmtư vấncho các CĐT lớn: Vingroup, Sungroup...	- Mức lương: 10-20tr/tháng + Thưởng theo năng lực của từng cá nhân làm tốt sẽ được hưởng chế độ xứng đáng- Làm việc trong môi trường thoải mái, vui vẻ.- Đề cao ý kiến cá nhân, tôn trọng sự sáng tạo.- Thu nhập cao theo năng lực bản thân.- Được trải ngiệm thực tế các công trình.- Xét nâng lương theo sự tiến bộ và tinh thần trách nhiệm.- Các chế độ khác thực hiện theo đúng luật LĐ- Ngoài thưởng tháng 13 còn có thưởng dự án	- Tốt nghiệp các chuyên ngành kiến trúc - nội thất của các trường ĐH- Yêu cầu có kinh nghiệm >5 năm- Sử dụng thành thạo các phần mềm chuyên ngành: Sketchup (hoặc 3D max), AutoCad, Photoshop...	859	26	Hà Nội	True	Pessimistic	Pessimistic	Pessimistic	An Giang	1	Thành thạo	Tốt	Sing	Sing	Sing	3
Nhân Viên Biên Tập Có Mức Lương Trên 10 Triệu Đồng	10000000	15000000	1 năm	Cao đẳng	2		- Chịu trách nhiệm làm nội dung cho website và các kênh online của công ty- Chịu trách nhiệm viết bài PR sản phẩm trên báo giấy, báo điện tử về sản phẩm máy móc, chiến dịch- Chịu trách nhiệm viết bài Sale page, Landingpage tối ưu hóa tỉ lệ chuyển đổi.- Phụ trách lên concept, sản xuất nội dung Fanpage - Website, viết bàiquảng cáosản phẩm, đo lường chất lượng và tối ưu hàng ngày.- Viết nội dung các tài liệubán hàng, ấn phẩm quảng cáo, thư ngỏ.- Đưa ra được những Headline hấp dẫn và phù hợpSố 2, Ngõ 2, Đường Liên Mạc, Phường Liên Mạc, Quận Bắc Từ Liêm, Hà Nội hoặc Chi nhánh Miền Nam: số 129 / 17D Lê Đình Cẩn, khu phố 6, phường Tân Tạo, quận Bình Tân, TP.HCM.	- Lương nhân sự mới khởi điểm 7-10 triệu / tháng, Lương nhân sự chính thức từ: 8,000,000 – 11,000,000 triệu đồng (ứng viên biên tập bài viết tiếng Anh, tiếng Trung thỏa thuận theo năng lực)- Ăn trưa tại công ty với mức 25k / bữa.- Đi du lịch hàng năm ít là 1 lần trên khắp mọi miền đất nước- Hưởng đầy đủ chế độ BHXH, BHYT,... phép năm, lễ tết,...- Hưởng tháng lương thứ 13, xét tăng lương 6 tháng / lần- Được đào tạo bài bản các kĩ năng cần thiết cho công việc, phát triển bản thân. Những gì không biết sẽ được dạy, những gì không hiểu sẽ được hỏi.	- Có nhiều ý tưởng, lối viết bài đa dạng- Các bạn cứ THỎA SỨC SÁNG TẠO, dùng ngòi bút của mình để chạm đến con tim người đọc, khiến họ không thể ngó lơ khỏi những bài bạn viết!- Ưu tiên ứng viên có kinh nghiệm viết quảng cáo sản phẩm- Ưu tiên ứng viên biết dùng photoshop- Tinh thần làm việc có trách nhiệm, biết cách phối hợp nhóm và có khả năng làm việc độc lập.THỜI GIAN VÀ ĐỊA ĐIỂM LÀM VIỆC- Ngày làm việc 8 tiếng. Nghỉ Chủ nhật.	875	16	Hà Nội	True	Pessimistic	Pessimistic	Pessimistic	An Giang	1	Thành thạo	Tốt	Sing	Sing	Sing	5
Nhân viên thanh toán quyết toán (Lương trên 10M)	10000000	15000000	Dưới 1 năm	Trung cấp	5		- Bóc tách khối lượng, lập dự toán công trình, lập tổng mức đầu tư xây dựng- Lập hồ sơ thanh quyết toán với chủ đầu tư- Kiểm tra, theo dõi hồ sơ thanh toán với thầu phụ- Tìm kiếm đối tác, nhà thầu báo giá thi công, kiểm tra khối lượng và đơn giá giao khoán- Các công việc khác theo triển khai của lãnh đạo phòng	- Lương thoả thuận theo năng lực- Hoa hồng mỗi quý- Tăng lương định kỳ + đột xuất hàng năm theo hiệu quả công việc- Lương tháng 13 + thưởng theo năng lực- Nhiều cơ hội thăng tiến- Được đào tạo nâng cao các kỹ năng- Vinh danh trao bằng khen, bảng vàng- Hỗ trợ mua xe hơi, xây nhà- Du lịch trong và ngoài nước- Tham gia các chương trình hội thao, teambuilding…- Được hưởng chế độ cưới hỏi, ốm đau, sinh nhật ….- Được tham gia BHXH, BHYT, BHTN,bảo hiểmtai nạn 24/24- Có xe đưa đớn từ TP HCM về Bình Dương- Nghỉ chiều thứ 7 và chủ nhật	- Tốt nghiệp đại học chuyên ngành xây dựng dân dụng và công nghiệp- Am hiểu các quy đinh nhà nước về thanh quyết toán công trình xây dựng- Có khả năng làm việc độc lập hoặc theo nhóm, chịu áp lực công việc- Nhiệt tình, có trách nhiệm, có tinh thần cầu tiến	713	61	Bình Dương	True	Pessimistic	Pessimistic	Pessimistic	An Giang	1	Thành thạo	Tốt	Sing	Sing	Sing	9
Nhân Viên Kỹ Thuật - Đi Làm Ngay (Hà Nội)	7000000	10000000	Dưới 1 năm	Trung cấp	2		- Đi dây hệ thống điện nhẹ, điện dân dụng.- Các công việc khác theo yêu cầu của cấp trên.	- Lương cứng 5-7 triệu + 5-10% doanh thu kinh doanh thêm. Thu nhập đối với nhân viên cứng từ 7-10 triệu có thể cao hơn tùy thuộc vào năng lực.- Tăng lương theo quy định chung của công ty,- Hỗ trợ ăn trưa, xăng xe đi làm 600đ/Km- Hưởng 5-10% doanh thu kinh doanh thêm-- Đối với nhân viên chính thức, gắn bó với công ty: Được hưởng đầy đủ các quyền lợi theo quy định của pháp luật hiện hành: BHYT,BHXH,BHTN,...- Được làm việc trong Môi trường thoải mái, năng động, được phép kinh doanh thêm để tăng thêm thu nhập.	- Đạo đức tốt, nhiệt tình, nhanh nhẹn, chăm chỉ.- Ưu tiên ứng viên đã có tay nghề ở vị trí tương đương.- Đối với Ứng viên chưa có kinh nghiệm sẽ được công tyđào tạothêm.	826	40	Hà Nội	False	Faithful	Careful	Competitive	Bắc Kạn	3	Trung bình	Trung bình	Take photographs	Go swimming	Go shopping	5
Quản Lý Kinh Doanh	12000000	15000000	1 năm	Trung cấp	4		- Thăm hỏi những khách hàng cũ- Thôngbáo chính sách giá + khuyến mãi tới khách hàng, lên đơn hàng và ghi sổ công nợ- Thu tiền khách hàng nộp về công ty, tư vấn khách hàng chuyển khoản về công ty.- Tìm kiếm thêm khách hàng mới để mở rộng thị trường.- Phòng vấn trực tiếp địa phương	- Lương cơ bản 7,5 triệu- Mở mới khách hàng 1 triệu/KH mới- KPI lên tới 10-15 triệu- Thưởng nhân viên xuất sắc hàng tháng 1 chỉ vàng, hàng năm 1 cây vàng 9999.- Tham gia BHXH + BHYT- Hàng năm đidu lịchcùng công ty.- Đi công tác tỉnh có xe công ty đưa đón, chi phí tiếp khách.	- Nam độ tuổi từ 23 tới 40- Có kinh nghiệm sale, quản lý nhóm- Thông thạo địa bàn tỉnh, chịu khó đi thị trường- Ưu tiên có thường trú tại địa phương, có bảo lãnh của gia đình	627	64	Bến Tre	False	Faithful	Competitive	Rational	Bắc Giang	6	Khá yếu	Thấp	Play sports	Travel	Go swimming	6
Nhân Viên Kinh Doanh Bán Hàng (thu nhập >10 triệu)	10000000	15000000	3 năm	Trung cấp	3		• Giới thiệu,quảng cáovà bán sản phẩm máy rửa bát cho khách hàng tiềm năng• Có khả năng phân tích hiệu quả chi phí của khách hàng hiện tại và khách hàng tiềm năng.• Thiết lập, phát triển và duy trì mối quan hệ kinh doanh, chăm sóc khách hàng tích cực để đảm bảo doanh số trong tương lai.• Liên hệ với khách hàng tiềm năng• Tiến hành giải quyết các vấn đề và khiếu nại của khách hàng để tối đa hóa sự hài lòng của họ.• Đạt được chỉ tiêu doanh thu và phát triển doanh thu• Phối hợpbán hàngvới các thành viên trong nhóm và các bộ phận khác.• Phân tích tiềm năng của thị trường, theo dõi doanh thu và các báo cáo.• Phát triển kênh phân phối: Trung tâm điện máy , các cửa hàng bán thiết bị gia dụng lớnCác nhiệm vụ khác được cấp trên giao phó	- Lương: Từ 10tr – 15tr + thưởng Doanh thu- Tham gia đầy đủ NHYT, BHTN, BHXH theo quy định công ty- Thưởng lễ thưởng tết theo quy định công ty- Trao đổi cụ thể thêm khi phỏng vấn	o Nhiệt tình trong công việc.o Kỹ năng bán hàng, giao tiếp và thương lượng tốt.o Kỹ năng quản lý, tổ chức và ưu tiên công việc.o Có khả năng thuyết trình hướng tới nhu cầu của người nghe.o Kỹ năng quản lý các mối quan hệ và sẵn sàng tiếp nhận các ý kiến phản hồi.o Tốt nghiệp Đại học, Cao đẳng chuyên ngành Kinh tế, Quản trị kinh doanh, Marketing và các chuyên ngành liên quan.Kinh nghiệm: Từ 03 năm trở lên, ưu tiên ứng viên có kinh nghiệm về dòng sản phẩm máy rửa bát.	945	52	Hà Nội	False	Careful	Competitive	Competitive	Bắc Giang	4	Khá yếu	Thấp	Play game	Play sports	Go swimming	7
Nhân Viên Kế Toán Nữ (Tp. Hcm)	10000000	15000000	1 năm	Đại học	3		- Hạch toán các nghiệp vụ phát sinh vào phần mềm kế toán.- Lập báo cáo thuế, quyết toán thuế TNDN, TNCN… hàng năm.+ Lên kế hoạch đặt hàng mua hàng.- Liên hệ nhà cung cấp bằng email / điện thoại để tìm những nguồn hàng tốt, giá cả hợp lý theo quy định của Công ty cung cấp kịp thời cho các dự án.+ Theo dõi và đối chiếu công nợ nhà cung cấp.- Hạch toán các nghiệp vụ phát sinh vào phần mềm kế toán.- Các yêu cầu khác theo yêu cầu của cấp trên.- Sẽ được trao đổi thêm khi phỏng vấn.	- Cơ hội thăng tiến cao, sẽ được cất nhắc lên Phó Phòng Kế Toán nếu ứng viên có đủ năng lực và kinh nghiệm.- Được hưởng đầy đủ các chế độ theo Luật Lao động Việt Nam.- Bảo hiểm Xã hội, Bảo hiểm Y tế, Bảo hiểm thất nghiệp...- Lương tháng 13; thưởng theo năng lực.- Cơ hội huấn luyện.- Môi trường làm việc chuyên nghiệp.- Du lịch công ty.- Các chế độ khác theo quy định của công ty.- Lương: thỏa thuận.	1. Có kinh nghiệm 01-02 năm trở lên về một trong các lĩnh vực sau:- KẾ TOÁN TỔNG HỢP- KẾ TOÁN VẬT TƯ (ưu tiên có kinh nghiệm trong lĩnh vực xây dựng công trình).- Tốt nghiệp Đại Học chính quy chuyên ngành Tài Chính Kế Toán.-Chưa có kinh nghiệm sẽ được đào tạo.- Thạo vi tínhvăn phòng.	734	47	TP.HCM	False	Competitive	Faithful	Dependable	Bắc Kạn	4	Trung bình	Thấp	Play game	Take photographs	Hang out with friends	8
Nhân Viên Tư Vấn Khối Tài Chính (Telesales)	10000000	15000000	Chưa có kinh nghiệm	Trung học	15		- Thực hiện cuộc gọi tư vấn sản phẩm cho vay tiêu dùng tiền mặt dựa vào Danh sách KH công ty cung cấp sẵn.- Hỗ trợ, hướng dẫn KH làm hồ sơ vay vốn khi có nhu cầu- Giải đáp thắc mắc từ khách hàng, cung cấp thông tin khách hàng yêu cầu- Làm việc theo ca cố định từ 9h-18h từ thứ 2 đến thứ 7, 4 ngày off / tháng	- Lương căn bản: 5.000.000đ + Hoa Hông (Thu nhập trung bình: từ 8tr - 15tr)- Lương tháng 13- Thu nhập cạnh tranh- Tham gia đầy đủ các loạibảo hiểm, BHYT, - BHTN, Bh tai nạn 24 / 7- 14 ngày phép / năm- Lộ trình tăng lương, thăng tiến rõ ràng- Khám sức khỏe định kỳ 1 năm / 1 lần- Được đào tạo bài bản theo lộ trình chuyên nghiệp- Nghỉ lễ, tết theo quy định nhà nước- Quà sinh nhật, lễ, tết	- Tốt nghiệp THPT trở lên- Không yêu cầu kinh nghiệm- Sẵn sàng tăng ca khi có yêu cầu- Giao tiếp, thuyết phục tốt.	620	52	TP.HCM	False	Careful	Rational	Dependable	Bắc Giang	3	Trung bình	Thấp	Take photographs	Go swimming	Mountaineering	6
Hỗ Trợ Bán Hàng (Nữ - Không Áp Doanh Số)	5000000	7000000	Chưa có kinh nghiệm	Cao đẳng	5		- ĐƯỢC ĐÀO TẠO - KHÔNG ĐÒI HỎI KINH NGHIỆM- Tiếp nhận đơn hàng, bán hàng cho khách hàng- Bán hàng qua điện thoại- Thăm hỏi khách hàng khi phát sinh nhu cầu - Đi lại bằng xe ô tô của công ty (2-3 lần / tuần)- Cập nhật số liệu bán hàng vào phần mềmkế toánphát sinh trong ngày theo form có sẵn (Được hướng dẫn)	- Mức lương cứng 6-7 triệu (tùy theo kinh nghiệm);- Thăm hỏi khách hàng có xe ô tô của công ty đưa đi- Làm việc giờ hành chính từ thứ 2 đến thứ 7, ngoài ra 1 tháng có thêm 1-2 ngày nghỉ quy định của công ty- 1 năm có 12 ngày nghỉ phép được hưởng lương theo quy định luật lao động- Được đóng BHYT, BHXH,...- Được đào tạo về sản phẩm và các chương trình bán hàng- Được huấn luyện các kỹ năng về kế toán, bán hàng và chăm sóc khách hàng để hoàn thành nhiệm vụ- Được làm việc trong môi trường làm việc hoà đồng, trẻ trung và thân thiện.- Công việc ổn định lâu dài	- Ứng viên Nữ tuổi từ 23 đến 30 tuổi- Tốt nghiệp Cao đẳng, Đại học- Sinh viên mới ra trường được đào tạo- Chăm chỉ, chịu khó, nhiệt tình	934	52	Hà Nội	False	Faithful	Careful	Easy-going	Bắc Giang	5	Trung bình	Thấp	Take photographs	Play sports	Go for a walk	5
Newstarland - Nhân Viên Content Marketing	7000000	10000000	1 năm	Cao đẳng	1		- Quản lý các trang mạng xã hội của công ty.- Xây dựng, quản lý nội dung (bao gồm viết nội dung, trình bày nội dung, ý tưởng về hình ảnh) trên Fanpage, Website.- Phối hợp với MKT team để lên kế hoạch content chi tiết cho Fanpages của công ty- Tham gia cùng team xây dựng và quản lý các chiến dịch Marketing, đóng góp các ý tưởng nội dung sáng tạo cho chiến dịch Digital Marketing.- Biên tập nội dung truyền thông trên các kênh truyền thông của Công ty (Tin tức nội dung trên website, Nội dung trên mạng xã hội, Email, nội dung PR bên ngoài, Nội dung seeding,…).- Mở rộng các kênh chưa khai thác nếu có.- Biết làm slide training trên Powerpoint với nội dung và hình ảnh phong phú- Thực hiện các công việc theo chỉ đạo trực tiếp từ trưởng bộ phận và Ban lãnh đạo.	- Thu nhập hấp dẫn: 7- 10 triệu + phụ cấp + thưởng- Môi trường làm việc dân chủ, chuyên nghiệp, có cơ hội thăng tiến và ổn định lâu dài.- Được đóng BHXH, BHYT, BH thất nghiệp theo quy định của nhà nước.- Được hưởng chế độ chăm sóc sức khỏe toàn diện Được hưởng các quyền lợi khác theo chính sách của công ty	- Tốt nghiệp Cao đẳng, Đại học chuyên ngành liên quan- Có khả năng viết tốt, đam mê trong lĩnh vựcquảng cáo, thương hiệu..- Có kiến thức marketing căn bản và phân tích thị trường; Có kinh nghiệm phát triển cộng đồng trên các trang mạng xã hội, forum,….- Sử dụng tốt các phần mềm chỉnh sửa ảnh như Photoshop hoặc các phần mềm thiết kế khác là một lợi thế- Khả năng vi tính & internet tốt.	916	65	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	8
Nhân Viên Kinh Doanh - Vật Liệu Xây Dựng (Đi Làm Ngay)	15000000	20000000	1 năm	Trung cấp	2		- Tìm kiếm vàbán hàngcho các công trình, dự án xây dựng.- Kiểm tra đôn đốc số lượng hàng hóa ở công trình thi công- Đo đạc và tư vấn cho khách hàng về các phương án cửa phù hợp với kiến trúc và trang trí nội thất.- Liên hệ mật thiết với khách hàng cũ, tìm kiếm những khách hàng mới, tìm đối tác gia công, lắp đặt sắt thép- Theo dõi vàchăm sóc khách hàng.- Tham gia xây dựng chính sách bán hàng cho các dự án.- Tìm hiểu đối thủ cạnh tranh.- Biết cách làm việc độc lập và báo cáo tiến độ với các sếp- Đốc thúc công nợ, giúp phòng kế toán trong công tác thu nợ.	- Thu nhập: 10.000.000 - 20.000.000 triệu/tháng (thỏa thuận)+ Hoa hồng thương lượng- Bảo hiểm: BHXH, BHYT, BHTN theo quy định của nhà nước- Được thưởng lương tháng thứ 13, tham quan nghỉ mát du lịch theo kế hoạch của công ty- Tham gia thường xuyên các bữa tiệc, ăn uống của công ty	- Nam tuổi từ 25 - 35- Yêu cầu tiếng anh giỏi vì làm việc trực tiếp với các sếp Hàn quốc.- Tốt nghiệp TC, CĐ, Đại học với các chuyên ngành kỹ thuật, xây dựng hoặc kinh tế (đam mê công việc kinh doanh)- Có kinh nghiệm làm việc ở công ty vật liệu xây dựng nói chung. Ưu tiên ứng viên có kinh nghiệm từ 3 năm trở lên, có kinh nghiệm bán cửa sổ, lan can là một lợi thế.- Biết sử dụng phần mềm AUTO CAD- Nhanh nhẹn, hoạt bát, trung thực, làm việc có trách nhiệm	764	52	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	7
Nhân Viên Kinh Doanh	10000000	12000000	Dưới 1 năm	Trung cấp	2		- Thực hiện các công việc liên quan tới việc bán sản phẩm của công ty.- Lên kế hoạch, triển khai phát triển công việcbán hàng, hàng tuần.- Đưa ra chiến lược phát triển kinh doanh dài hạn.	- Lương cơ bản 7-10 triệu + Hoa hồng- Các chính sách, quyền lợi theo quy định của nhà nước.- Thưởng 1 năm 1 lần.- Các chính sách khác tùy theo tình hình kinh doanh của công ty.	- Có kinh nghiệm trong việcbán hàng.- Chịu khó, nghiêm túc trong công việc.- Có khả năng làm việc độc lập.- Tinh thần trách nhiệm, khả năng tư duy trong công việc.- Kỹ năng giao tiếp & đàm phán tốt.	750	52	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	5
Nhân Viên Kinh Doanh - Thu Nhập Lên Đến 40 Triệu (Lương Cứng + Hoa Hồng)	30000000	40000000	Chưa có kinh nghiệm	Không yêu cầu bằng cấp	5		BFT GROUP chuyên doanh trên lĩnh vựcBất động sản. Chúng tôi phấn đấu và kỳ vọng trở thành công ty dẫn đầu ngay hôm nay và cả trong tương lai để đáp ứng nhu cầu của hàng chục nghìn khách hàng, đối tác trên toàn lãnh thổ Việt Nam. Chúng tôi đang có nhu cầu tuyển dụng vị trí Nhân Viên Kinh Doanh:- Nhận, chăm sóc khách hàng được cung cấp và khai thác & tìm kiếm khách hàng mới- Thiết lập cuộc hẹn, kết hợp cùng “Chuyên gia” của công tytư vấncho khách hàng về: Sản phẩm, tài chính,..- Tổng hợp số liệu & đánh giá khách hàng, hoàn thiện Hồ sơ quản lý khách hàng mục tiêu.- Thương thảo, đàm phán, chốt Sale- Báo cáo kết quả kinh doanh, thị trường, đối thủ cạnh tranh.- Các công tác khác theo sự chỉ đạo trực tiếp của trưởng phòng kinh doanh	- THU NHẬP = Lương cơ bản + % Hoa hồng + % Thưởng năm- Hoa hồng : 50 - 70% Doanh thu tháng- Thưởng năm: 2% Doanh thu năm- Được làm việc trong môi trường năng động, nhiều thử thách, được đào tạo hội nhập, đào tạo về chuyên môn, đào tạo về cách thức khai thác - tư vấn - đàm phán khách hàng.- Là một trong các hạt giống để cơ cấu làm Trưởng phòng kinh doanh.- Chính sách BHXH, BHYT và các phúc lợi khác theo đúng quy định của Luật lao động- Du lịch, nghỉ mát hàng năm	- Tốt nghiệp: THPT trở lên.- Có kinh nghiệm là 1 lợi thế- Là người yêu thích kinh doanh, có trách nhiệm trong công việc- Có kỹ năng: Khai thác Internet, Telesale, Giao tiếp, Thuyết trình- Ứng viên phù hợp đi làm ngay	865	52	Hà Nội	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	10
Giáo Viên Mầm Non - Đi Làm Ngay	7000000	10000000	Dưới 1 năm	Trung cấp	5		- Chăm sóc, nuôi dưỡng và tổ chức các hoạt độnggiáo dụctrẻ :- Soạn giáo án và giảng dạy theo từng độ tuổi, hỗ trợ giáo viên nước ngoài.- Thực hiện các công việc của Giáo viên mầm non,quản lýlớp học và đảm bảo an toàn cho trẻ.- Thực hiện công tác giảng dạy, soạn bài, tổ chức các hoạt động chăm sóc, giáo dục theo kế hoạch đã đề ra.	- Tham gia BHXH đầy đủ khi hết thời gian thử việc.- Ăn trưa tại trường. Thưởng hằng năm.- Được nghỉ vào các ngày lễ tết theo quy định.- Lương thỏa thuận theo năng lực..	- Tốt nghiệp Ngành Sư Phạm Mầm Non.- Yêu thương và tôn trọng trẻ, Yêu nghề, gắn bó với nghề.- Nhiệt tình. Ưu tiên những ứng viên mong muốn giắn bó lâu dài với trường	774	53	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	0
